data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,1,166795079,1.000,11,15272554
2023,2,166795294,5.000,1,15272570
2023,1,169044576,1.000,11,15596008
2023,4,167917396,1.000,11,15429598
2023,8,167917396,1.000,11,15429599
2023,16,167917396,0.000,1,15429600
2023,2,169043878,1.000,11,15595940
2023,4,167917515,1.000,1,15429615
2023,16,169044047,2.000,9,15595957
2023,2,167917755,1.000,11,15429648
2023,12,172893364,1.000,11,16150592
2023,1,169873941,2.100,1,15728752
2023,16,171588514,10.000,9,15962981
2023,1,171588589,3.090,1,15962993
2023,5,171588515,8.000,3,15962982
2023,2,171588521,1.000,11,15962983
2023,8,172893449,1.000,11,16150604
2023,1,182160891,1.000,1,17417569
2023,17,176252096,0.000,1,16589952
2023,2,177307905,1.000,11,16730080
2023,15,167909746,9.000,9,15428676
2023,1,174375347,3.000,3,16349872
2023,2,182124216,1.000,11,17411972
2023,2,179060577,0.786,1,16973618
2023,17,179060771,0.250,1,16973653
2023,2,180964054,1.000,1,17240662
2023,17,180964114,2.000,9,17240677
2023,1,165264356,0.700,1,15042361
2023,2,166772651,1.000,1,15269901
2023,16,163809906,4.000,9,14849794
2023,5,165266134,1.000,1,15042691
2023,8,166773838,1.000,9,15270262
2023,17,171566055,2.000,9,15959473
2023,2,179044881,1.000,3,16970744
2023,5,179044881,1.000,3,16970745
2023,12,163800389,1.000,9,14848435
2023,12,163800470,1.000,9,14848443
2023,12,163800470,1.000,1,14848444
2023,5,163800535,2.000,4,14848456
2023,5,180941253,1.000,3,17236872
2023,17,180941283,2.000,9,17236883
2023,12,180941337,1.000,9,17236897
2023,12,163800930,17.000,1,14848535
2023,1,180941259,1.000,1,17236873
2023,12,180941259,1.000,1,17236874
2023,16,174359616,4.000,9,16347551
2023,17,174359616,4.000,1,16347552
2023,16,167894879,0.500,1,15426449
2023,5,180941348,0.650,3,17236900
2023,17,180941410,2.000,3,17236915
2023,12,165257306,1.000,1,15041351
2023,12,165257631,6.000,9,15041394
2023,12,165257628,0.110,1,15041392
2023,12,165257769,1.400,1,15041411
2023,12,169857300,1.000,1,15726360
2023,12,166766961,1.000,9,15268882
2023,12,166766961,0.500,1,15268883
2023,5,169857473,1.000,3,15726397
2023,17,172863763,9.000,9,16146140
2023,1,166767320,0.100,1,15268919
2023,12,166767424,1.000,9,15268952
2023,4,166767492,1.000,1,15268961
2023,12,171561713,1.000,9,15958790
2023,16,171561689,3.000,9,15958786
2023,2,167894956,0.500,1,15426461
2023,12,174359676,1.000,3,16347556
2023,5,171561741,1.000,3,15958797
2023,16,171561808,4.000,9,15958813
2023,5,167895530,2.000,3,15426553
