data_year,victim_id,circumstances_id,justifiable_force_id
2023,209108781,21,1
2023,209111782,21,1
2023,209119694,21,1
2023,209119695,21,1
2023,209137535,21,1
2023,209122333,21,1
2023,184848775,21,1
2023,207539367,21,1
2023,207570085,21,1
2023,205062807,20,5
2023,198817107,21,5
2023,205034656,21,1
2023,205062468,21,1
2023,202693749,21,2
2023,201322964,21,2
2023,207554633,20,3
2023,207590850,20,3
2023,201347324,20,3
2023,201347325,20,3
2023,209145984,20,7
2023,209145985,20,7
2023,207544343,20,7
2023,201322567,20,7
2023,195118811,21,7
2023,192835304,21,1
2023,209810561,21,1
2023,195085421,20,3
2023,202707587,21,3
2023,196812215,20,3
