yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
200422023,20042,2023,VA0010000,VA0010000,,N,N,,I,ACCOMACK,ACCOMACK CO SO ACCOMAC,Accomack,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,27373,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,30,4,34,2,8,10,1.2,1.6,1994-01-01,1997-06-01,1997-06-01,2012-08-01,,2019-04-01,N,ACCOMACK,Not Specified,Y,Y,Y
200432023,20043,2023,VA0010100,VA0010100,,N,N,,I,CHINCOTEAGUE,CHINCOTEAGUE PD,Chincoteague,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,3254,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,1,13,0,3,3,3.7,4.9,1994-01-01,1996-10-01,1996-10-01,2012-06-01,,2019-04-01,N,ACCOMACK,Not Specified,Y,Y,Y
200442023,20044,2023,VA0010200,VA0010200,,N,N,,I,ONANCOCK,ONANCOCK PD,Onancock,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,1156,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0.0,0.0,1994-01-01,1999-01-01,1999-01-01,2012-06-01,,2019-04-01,N,ACCOMACK,Not Specified,Y,Y,Y
200452023,20045,2023,VA0010300,VA0010300,,N,N,,I,PARKSLEY,PARKSLEY PD,Parksley,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,804,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,1.2,1.2,1994-01-01,2007-08-01,2007-08-01,2012-09-01,,2019-06-01,N,ACCOMACK,Not Specified,Y,Y,Y
200462023,20046,2023,VA0010500,VA0010500,,N,N,,I,ONLEY,ONLEY PD,Onley,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,533,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,7.5,7.5,1994-01-01,1998-08-01,1998-08-01,2012-06-01,,2019-06-01,N,ACCOMACK,Not Specified,Y,Y,Y
200482023,20048,2023,VA001SP00,VA001SP00,,N,N,,I,SP: ACCOMACK COUNTY,SP: ACCOMACK COUNTY,State Police:,Accomack County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,ACCOMACK,Not Specified,Y,Y,Y
200502023,20050,2023,VA0020100,VA0020100,,N,N,,I,UNIVERSITY OF VIRGINIA,UNIV VA PD CHARLOTTESVILLE,University of Virginia,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,University or College,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,52,59,111,13,33,46,0,0,1994-01-01,1997-05-01,1997-05-01,2012-06-01,,2019-04-01,N,ALBEMARLE,"Charlottesville, VA",Y,Y,Y
200512023,20051,2023,VA0020300,VA0020300,,N,N,,I,ALBEMARLE COUNTY POL DEP,ALBEMARLE PD,Albemarle County Police Department,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,115659,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,133,12,145,17,17,34,1.3,1.5,1994-01-01,1997-05-01,1997-05-01,2012-06-01,,2019-04-01,N,ALBEMARLE,"Charlottesville, VA",Y,Y,Y
200522023,20052,2023,VA002SP00,VA002SP00,,N,N,,I,SP: ALBEMARLE COUNTY,SP: ALBEMARLE COUNTY,State Police:,Albemarle County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,ALBEMARLE,"Charlottesville, VA",Y,Y,Y
200532023,20053,2023,VA0030000,VA0030000,,N,N,,I,ALLEGHANY,ALLEGHANY CO SO COVINGTON,Alleghany,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,11273,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,44,1,45,10,20,30,4.8,6.7,1994-01-01,1997-01-01,1997-01-01,2012-06-01,,2021-07-01,N,ALLEGHANY,Not Specified,Y,Y,Y
